5.2.1;Urban (inhabitants/hectares);22;35
5.2.2;Rural (inhabitants/hectares);65;65
6;Infrastructures;;
6,1;Access to drinking water supply;;
6.1.1;Total (%);60;40
6.1.2;Urban (%);40;30
6.1.3;Rural (%);20;10
6,2;Access to improved sanitation;;
6.2.1;Total (%);60;40
6.2.2;Urban (%);40;30
6.2.3;Rural (%);20;10
6,3;Access to electricity;;
6.3.1;Total (%);60;40
6.3.2;Urban (%);40;30
6.3.3;Rural (%);20;10
6,4;Local electrificy tariff (local currency/kWh);23;24
6,5;Matrix of electricity generation;;
6.5.1;Hydropower (%);12;12
6.5.2;Diesel generation (%);23;23
6.5.3;Gas (%);34;34
6.5.4;Coal (%);34;34
6.5.5;Solar photovoltaic (%);23;23
6.5.6;Wind power (%);12;12
6.5.7;Biomass/biofuels (%);12;12
6,6;High voltage (kV);443;55
6,7;Low voltage (V);23;45
7;Access to Services;;
7,1;Illiteracy rate (%);23;45
7,2;Internet access rate (%);54;35
8;Shelter;;
8,1;Slum population rate (%);34;55
;SPECIFIC INFORMATION - SETTLEMENTS LEVEL;;
;CULTURE IDENTIFICATION ;Host community;Refugees
9;Religion;;
9,1;Religion 1;musulmana;musulmana
9,2;Religion 2;cristiana;
9,3;Religion 3;judia;
10;Language;;
10,1;Language 1;amhárico;tigriña
10,2;Language 2;inglés;
10,3;Language 3;francés;
;PHYSICAL AND ENVIRONMENT DATA;Host community;Refugees
11;Location;;
11,1;Latitude;1º2'3'';3º2'1''
11,2;Longitud;3º2'1'';1º2'3''
12;Topography;;
12,1;Upper bound (m);150;60
12,2;Lower bound (m);30;0
;FOOD SECURITY;Host community;Refugees
13;Cause of food insecurity;;
13,1;Cause 1;uno;uno
13,2;Cause 2;dos;
13,3;Cause 3;;
14;Affected groups due to food insecurity ;;
14,1;Children;si;si
14,2;Women;si;si
14,3;Men;si;si
14,4;Old people;si;si
15;Calories of the typical dish;;
15,1;Pork (200 kcal/100g);2;2
15,2;Beef 180 kcal/100 g;1,8;1,8
15,3;Chicken: 130 kcal/100 g;1,3;1,3
15,4;Lamp: 125 kcal/100 g;1,25;1,25
15,5;Cereales/grains: 350 kcal/100 g;3,5;3,5
15,6;Legumes: 350 kcal/100 g;3,5;3,5
15,7;Fruits: 50-200 kcal/100 g;2;2
16;Intake (g) - default value 70g-;70;70
;GENERAL INFORMATION OF REFUGEES SETTLEMENT;Host community;Refugees
17;Implementation date of the refugee camp (year);NULL;01/10/1990
18;Migration reasons;NULL;
18,1;Reason 1;NULL;una
18,2;Reason 2;NULL;otra
18,3;Reason 3;NULL;distinta
18,4;Reason 4;NULL;
19;Climate;NULL;
19,1;Tropical (Write one: Af, Aw or Am);NULL;
19,2;Dry (Write one: Bsh, Bsk, Bwh or Bwk);NULL;si
19,3; Temperated (Write one: Cdb, Cfc, Csa, Csb, Cfa, Cwa, Cwb);NULL;
19,4;Continental (Write one: Dfa, Bwa, Dsa or Dfb, Dwb, Dsb);NULL;
20;Temperature;NULL;
20,1;Max (ºC);NULL;50
20,2;Min (ºC);NULL;0
20,3;Average (ºC);NULL;30
21;Relative humidity (%);NULL;15
22;Annual precipitation;NULL;
22,1;Max (mm);NULL;200
22,2;Min (mm);NULL;0
23;Solar irradiance (kW/m2/day);NULL;123
24;Wind speed;NULL;12
25;Additional information;NULL;NULL
26;Heights of close rivers (r=20km);NULL;
26,1;1;NULL;30
26,2;2;NULL;30
26,3;3;NULL;30
26,4;4;NULL;
;ACTORS (PARTNERS) IDENTIFICATION;Host community;Refugees
27;Public institutions;;
27,1;1;una;otra
27,2;2;;
27,3;3;;
27,4;4;;
27,5;5;;
27,6;6;;
27,7;7;;
28;Private institutions;;
28,1;1;una;otra
28,2;2;;
28,3;3;;
28,4;4;;
28,5;5;;
28,6;6;;
29;Non-profit organizations/NGOs;;
29,1;1;una;otra
29,2;2;;
29,3;3;;
29,4;4;;
29,5;5;;
29,6;6;;
30;International cooperation agencies;;
30,1;1;una;otra
30,2;2;;
30,3;3;;
30,4;4;;
30,5;5;;
30,6;6;;
31;Local representatives/local committees/ local liders;;
31,1;1;una;otra
31,2;2;;
31,3;3;;
31,4;4;;
31,5;5;;
31,6;6;;
