"start","end","General:Gender","General:Settlement","General:Name_HC","General:old_years","General:Old_women","General:Young_wome","General:Old_men","General:Young_men","General:Children","Shelter:No_Rooms","Shelter:Improve_sh","Energy:Access_Y_N_001","Energy:Access_electric","Energy:Hours_day","Energy:HoursNight","Energy:Appliances","Energy:Hours_lightbulbs","Energy:Hours_mobile","Energy:Hours_radio_musicplayer","Energy:Hours_TV_DVD","Energy:Hours_laptop_computer_tablet","Energy:Hours_fridge","Energy:Hours_electrical_stove","Energy:Hours_others","Energy:Elec_expen","Energy:Solar_cost","Water:Water_col","health_001:Healthcare","Economy:FamilyHead","Economy:FamilyHead_001","Economy:Main_inco","Economy:Money","Economy:Food","Economy:clothes","Economy:water_001","Economy:education","Economy:transport","Economy:Health","Economy:firewood","meta:instanceID"
"2019-11-26 17:40:27.996","2019-11-27 13:28:53.196","female","refugee","","45","1","1","2",,,"2","walls","yes","electrical_gri_1","12","12","lantern light_bulbs mobile_phone fridge","4","2",,,,"24",,,"1500",,,"yes","yes",,"others","7000","4000",,,,,"1000","1500","uuid:fb8eef28-8ec8-4b00-85ed-febc7ad38e0f"
"2019-11-26 17:59:58.121","2019-11-27 13:30:43.289","female","refugee","","45","2",,,"1",,"1","roofs","yes","electrical_gri_1","12","12","lantern light_bulbs mobile_phone","4","1",,,,,,,"500",,,"yes","yes",,"subsidies",,,,,,,,"500","uuid:b029d940-169e-4cba-8fda-c517bc60e162"
"2019-11-26 18:16:48.845","2019-11-26 18:21:21.864","female","refugee","","19","2","1","1",,"4","2","nothing","yes","electrical_gri_1","12","12","light_bulbs mobile_phone fridge","4","2",,,,"24",,,,,,"yes","yes",,"subsidies",,,,,,,,,"uuid:ec0c9f82-83e5-4174-a746-cd25ebca8606"
"2019-11-26 18:29:06.614","2019-11-26 18:34:41.426","female","refugee","","70","1",,,,,"1","foundations","yes","electrical_gri_1","12","12","lantern light_bulbs fridge","4",,,,,"24",,,,,,"no","yes",,"subsidies",,,,,,,,,"uuid:03b8c4db-acd2-48ee-9e6d-4cb7a2d63698"
"2019-11-26 18:42:48.887","2019-11-27 13:30:23.154","female","refugee","","20","3","3","2",,"2","2","nothing","yes","electrical_gri_1","12","12","light_bulbs mobile_phone tv/dvd","4","2",,"2",,,,,"400",,,"no","no","male","others","100","1300",,,,,,"200","uuid:32c3953d-7ce6-4bc4-b19f-8cda3520334a"
"2019-11-27 17:30:40.334","2019-11-27 17:41:15.346","female","refugee","","33","4","1","3",,"3","2","roofs","yes","electrical_gri_1","12","12","lantern light_bulbs radio/music_p mobile_phone tv/dvd fridge","7","2","5","6",,"24",,,"250",,,"yes","yes",,"others","1500","1000",,,,,"100","250","uuid:711af6c8-f38a-4dba-bb4c-1df0770c5690"
"2019-11-29 18:01:38.736","2019-11-29 18:12:25.218","female","refugee","","14","1","1","1","2","3","2","foundations","yes","electrical_gri_1","12","12","light_bulbs mobile_phone tv/dvd fridge","4","2",,"4",,"24",,,"700",,,"yes","no","male","others","2200","1000",,,,,"1000","7500","uuid:cf3a6808-5d95-4594-a131-95c671459a6c"
"2019-11-29 18:26:55.651","2019-11-29 18:36:01.734","female","refugee","","45","1","1","1","1","1","2","foundations","yes","electrical_gri_1","12","12","light_bulbs mobile_phone tv/dvd laptop_tablet/ fridge","4","2",,"4","4","24",,,"500",,,"yes","no","male","others","1000000","500000",,,,"2000",,"500","uuid:68dc04e9-d3c4-4721-822c-760c11adcb6b"
"2019-11-29 18:41:14.444","2019-11-29 18:45:21.475","female","refugee","","21","1","1","1","2","4","2","nothing","yes","electrical_gri_1","12","12","lantern light_bulbs mobile_phone","4","2",,,,,,,"500",,,"yes","yes",,"nothing",,,,,,,,"500","uuid:3bafa9df-4947-4cba-863c-6cdfe9bb04e9"
"2020-03-27 13:14:18.356","2020-03-27 13:26:54.549","female","refugee","","25","2","1","1","1","0","2","roofs","no",,"2","2","",,,,,,,,,,,"0","no","no","female","subsidies","500","100","100","0","0","0",,"300","uuid:71e1f1d7-3b88-4551-86ff-cbd922faf7a3"
"2020-03-27 13:27:20.252","2020-03-27 13:29:15.942","male","refugee","","30","2","1","1","1","0","2","foundations","no",,,,"",,,,,,,,,,,,"no",,,,,,,,"0","0",,"350","uuid:b7d300a4-9e76-423b-a7d7-9e5e3f01ef46"
"2020-03-27 13:29:50.793","2020-03-27 13:30:57.826","female","host_community","community_a",,,,,,,"2","walls","yes",,,,"radio/music_p",,,"2",,,,,,,,,,,,,,,,,,,,,"uuid:18b34f6c-8bdb-4cf7-9cd7-7c7469137064"
"2020-03-27 13:31:10.988","2020-03-27 13:31:50.298","female","host_community","community_a",,,,,,,"3","walls","no",,,,"",,,,,,,,,,,,,,,,,,,,,,,,"uuid:f7b5e2a7-8b5f-42b2-bd40-91b0c5ef33bb"
"2020-03-24 14:02:06.72","2020-03-27 13:37:49.969","female","refugee","","54","5","2","2","2","1","2","walls","yes","electrical_gri_1","12","12","lantern light_bulbs mobile_phone radio/music_p tv/dvd laptop_tablet/ fridge electrical_sto others","5","4","1","2","1","24","4","4","20",,"0","yes","yes",,"subsidies","20","30","10","20","20","40","40","40","uuid:616566f9-5034-4336-a2f6-624cbfec19f7"
"2020-03-27 13:44:15.654","2020-03-27 14:04:30.776","male","host_community","community_a","60","3","2","3","2","2","2","foundations","yes",,,,"tv/dvd laptop_tablet/ electrical_sto",,,,,,,,,"50",,,"no",,,"donations",,,"20",,,,,"30","uuid:ec83a6ec-8017-4c26-ac02-1d7d8aaf148b"
"2020-03-27 14:04:34.896","2020-03-27 14:05:05.564","female","host_community","community_a","30",,,,,,"2","roofs","yes",,,,"",,,,,,,,,,,,,,,,,,,,,,,,"uuid:b72cf3e2-234d-4d4b-9b7a-2f2d721f2061"
"2020-03-27 14:05:09.083","2020-03-27 14:05:26.649","female","host_community","community_a",,,,,,,"3","walls","yes",,,,"",,,,,,,,,,,,,,,,,,,,,,,,"uuid:1f146532-a3df-49dd-8849-7fc5a4f56999"
