SubmissionDate,start,end,username,Type_of_setlement,Host_Comunity_Name,Category_Productive_Area,Economic_activity_type_001,Other_type,General_information-Map_Number,General_information-Identification_Code,General_information-General_Picture,General_information-Specify_other_Productive_Area,General_information-Mobile_GPS_Localization-Latitude,General_information-Mobile_GPS_Localization-Longitude,General_information-Mobile_GPS_Localization-Altitude,General_information-Mobile_GPS_Localization-Accuracy,General_information-GPS_Longitude,General_information-GPS_Latitude,General_information-GPS_height,Other_Private_Activity-Cooker_details-Kitchen_type,Other_Private_Activity-Cooker_details-Power,Other_Private_Activity-Cooker_details-Other_type_cooker,Other_Private_Activity-Cooker_details-Cooking_area,Community_Garden_Details-Dimension_1,Community_Garden_Details-Dimension_2,Community_Garden_Details-Crops,Community_Garden_Details-Specify_other_Crops,Community_Garden_Details-Kind_of_Fruit,Community_Garden_Details-Kind_of_Vegetable,Community_Garden_Details-Kind_of_Cereals,Community_Garden_Details-Garden_type,Community_Garden_Details-Water_source,Community_Garden_Details-Fertilization_system,Community_Garden_Details-Fertilizer_Kind_of_legumes,Community_Garden_Details-Fertilizer_Legumes_times,Community_Garden_Details-Fertilizer_Kind_of_animals,Community_Garden_Details-Fertilizer_Animals_times,Community_Garden_Details-Fertilizer_Kind_of_synthetic,Community_Garden_Details-Fertilizer_Synthetic_times,Community_Garden_Details-Fertilizer_Kind_of_others,Community_Garden_Details-Fertilizer_Others_times,Community_Garden_Details-Fertilizer_amount_aminal,Community_Garden_Details-Fertilizer_amount_synthetic,Community_Garden_Details-Fertilizer_amount_legumes,Community_Garden_Details-Fertilizer_amount_other,Communitary_Stockyard_Details-Dimension_1_001,Communitary_Stockyard_Details-Dimension_2_001,Communitary_Stockyard_Details-Animals,Communitary_Stockyard_Details-Other_type_001,Communitary_Stockyard_Details-Number_of_animals,Communitary_Stockyard_Details-Animal_Excreta_Disposal,Communitary_Stockyard_Details-Animal_Excreta_Disposal_System,Communitary_Stockyard_Details-Other_Excreta_Disposal,Street_lighting,SET-OF-Street_lighting_details,Wate_Managment_Required,Waste_Managment_Detail-Waste_Collection_Point,Water_supply_required,Private_water_supply,water_supply_details-Type_of_water_supply,water_supply_details-Well_depth,water_supply_details-Power_002,water_supply_details-Continued_availability,water_supply_details-Available_moths,Energy_supply,Private_Electricity,Electricity_details-Interior_lighting_source,Electricity_details-Power_003,Electricity_details-Other_type_003,Electricity_details-Comsumption_Equipament_Details,SET-OF-Electricity_details-Comsumption_Equipament,Something_to_add,meta-instanceID,KEY
29/10/2018 10:58:44,24/10/2018 8:30:10,29/10/2018 10:50:57,mission2018,refugee_camp,"",other_productive_area,shop,"",2.2,200,media\1540362669090.jpg,Sell food,"","","","",14,10,37,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",no,"",yes,yes,yes,no,"","","","","",yes,yes,others,"",Led,"","","Own thermal generator 27,2 hp. He plans to start to sell electricity",uuid:3b5844f0-360d-4913-9464-d152e24538f0,uuid:3b5844f0-360d-4913-9464-d152e24538f0
29/10/2018 10:58:54,24/10/2018 10:31:54,24/10/2018 10:35:46,mission2018,refugee_camp,"",other_productive_area,others,Granding mill,2.3,253,media\1540369974148.jpg,Granding mill,"","","","",14,10,23.08,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",no,"",no,"",yes,yes,water_tank__lo,"","",no,Don't know,no,"","","","","","","Use diesel to work, the pump doesn't work",uuid:d347e0fb-63a9-49ae-a851-356cdede7598,uuid:d347e0fb-63a9-49ae-a851-356cdede7598
29/10/2018 10:59:01,24/10/2018 10:48:15,24/10/2018 10:52:25,mission2018,refugee_camp,"",other_productive_area,shop,"",2. 3,256,media\1540370930807.jpg,"","","","","",14,10,25.65,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","",no,"","","","","","",yes,option_2,"","","","","",Pay for electricity. 1mercury  bulb,uuid:ea7084f8-3903-4a60-a22b-7090b040e13e,uuid:ea7084f8-3903-4a60-a22b-7090b040e13e
29/10/2018 11:02:51,24/10/2018 16:13:10,24/10/2018 16:39:09,mission2018,host_comunity,Maikulili,other_productive_area,hairdressing_or_babershop,"",Host,505,media\1540390449021.jpg,"","","","","",14,12,54.80,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",no,"",no,"",no,"","","","","","",yes,option_2,"","","","","",Connected to the national grid,uuid:811fa1a3-1a9a-4a77-a14c-7fe30e41fb20,uuid:811fa1a3-1a9a-4a77-a14c-7fe30e41fb20
29/10/2018 11:02:53,24/10/2018 16:16:20,29/10/2018 10:49:59,mission2018,host_comunity,Maikulili,other_productive_area,others,Bar,Host,508,media\1540390617837.jpg,"","","","","",14,12,54.80,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",no,"",yes,no,no,"","","","","","",yes,option_2,"","","","","",Connected to the national grid,uuid:70ab015f-8644-467a-8bd1-ff4efd455af9,uuid:70ab015f-8644-467a-8bd1-ff4efd455af9
05/11/2018 18:37:58,24/10/2018 16:13:04,05/11/2018 18:11:53,mission2018,host_comunity,Maikuhili,other_productive_area,shop,"","","",media\1540390461142.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",no,"",yes,no,yes,no,"","","","","",yes,yes,grid,"","",OK,uuid:30a1169c-6691-4af1-926c-81109699ecea/Comsumption_Equipament,"",uuid:30a1169c-6691-4af1-926c-81109699ecea,uuid:30a1169c-6691-4af1-926c-81109699ecea
05/11/2018 18:40:17,23/10/2018 7:28:48,05/11/2018 18:21:32,mission2018,host_comunity,Shimelba iré,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",uuid:a4eef157-cf22-4aa5-86ab-b3bdea7d8983,uuid:a4eef157-cf22-4aa5-86ab-b3bdea7d8983
05/11/2018 18:40:28,24/10/2018 8:31:35,24/10/2018 8:34:50,mission2018,refugee_camp,"",other_productive_area,others,Diversión shelter,5.2,101,media\1540362785206.jpg,Livest shelter,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",no,"",yes,no,yes,no,"","","","","",yes,option_2,"","","","","","",uuid:7ec164b4-d5ba-4bf7-aa89-cdb7c24b9df7,uuid:7ec164b4-d5ba-4bf7-aa89-cdb7c24b9df7
05/11/2018 18:40:32,24/10/2018 8:36:35,24/10/2018 8:39:41,mission2018,refugee_camp,"",communal_stock,"","",5.2,105,media\1540363061081.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3 x 4,"",other,Donkey,3,no,"","",no,"",yes,no,yes,no,"","","","","",yes,option_2,"","","","","","",uuid:cb8900f0-d5ec-476a-98b5-f5e6848ffdbb,uuid:cb8900f0-d5ec-476a-98b5-f5e6848ffdbb
05/11/2018 18:40:36,24/10/2018 8:42:51,24/10/2018 8:47:52,mission2018,refugee_camp,"",communal_stock,"","",5.2,106,media\1540363446740.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",12 x 20,"",goat chicken,"",3,no,"","",no,"",yes,no,yes,no,"","","","","",yes,option_2,"","","","","",Livestock in field,uuid:eb3edd12-1116-41e8-9a3e-67fbdad839bb,uuid:eb3edd12-1116-41e8-9a3e-67fbdad839bb
05/11/2018 18:40:40,24/10/2018 9:00:18,24/10/2018 9:03:33,mission2018,refugee_camp,"",other_productive_area,shop,"",5.2,109,media\1540364489678.jpg,Shop,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",no,"",yes,no,no,"","","","","","",yes,yes,grid,"","",OK,uuid:25925da1-fac1-4d70-9e0f-c5b1157da215/Comsumption_Equipament,"",uuid:25925da1-fac1-4d70-9e0f-c5b1157da215,uuid:25925da1-fac1-4d70-9e0f-c5b1157da215
05/11/2018 18:40:47,24/10/2018 9:09:19,24/10/2018 9:13:04,mission2018,refugee_camp,"",communal_orcha,"","",5.2,112,media\1540365048575.jpg,"","","","","","","","","","","","",30,20,vegetable cereals,"","",Sorgo y pimiento picante,Sorgo,do_not_know__d,do_not_know__d,option_3,"","","","","","","","","","","","","","","","","","","","",no,"",yes,no,yes,no,"","","","","",no,"","","","","","","",uuid:a1b91812-3c82-4aca-a903-b4a957d8e3bc,uuid:a1b91812-3c82-4aca-a903-b4a957d8e3bc
05/11/2018 18:40:52,24/10/2018 9:18:51,24/10/2018 9:23:05,mission2018,refugee_camp,"",communal_stock,"","",5.2,114,media\1540365569628.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",30,10,cow,"",0,no,"","",no,"",yes,no,yes,no,"","","","","",yes,option_2,"","","","","",Zona de engorde avandonada,uuid:e66d83a3-48c4-4b88-bcb2-37692cda2f40,uuid:e66d83a3-48c4-4b88-bcb2-37692cda2f40
